Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Jennifer MEUNIER",Piston,"Le Mans - RCL",11/10/2025,14:44:09,15:13:54,30,1620.65784,10.56,0,0,0,0,0,0,0,54.47132,15.9219
"Blandine JOLY",Gardienne,"Le Mans - RCL",11/10/2025,14:41:02,15:13:55,33,1782.35168,44.73,0,0,0,0,0,0,0,54.21437,16.89955
"Sherly JEUDY",Attaquante,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,41,2423.46729,129.33,68.42,17.7,0,1,5,5,1,58.66941,24.16521
"Clara BERTRAND",Sentinelle,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,41,3045.10535,200.52,41.89,9.81,17.48,0,5,4,1,73.61847,27.4082
"Tess DAVID",Sentinelle,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,67,6031.58301,657.94,142.52,4.92,0,6,14,11,0,90.66914,23.9366
"Alizée MEREAU",Attaquante,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,67,5529.90662,377.28999,171.84,67.88,44.95,9,15,16,7,82.54988,27.27771
"Jennifer LIMAGE","Défenseur Central","Le Mans - RCL",11/10/2025,14:44:09,16:24:40,74,7041.65405,396.70999,106.25,12.34,0,14,16,10,1,95.49969,25.12264
"Sofia GUELLATI","Défenseur Central","Le Mans - RCL",11/10/2025,14:44:09,17:31:26,83,6603.40167,304.62999,60.47,9.89,0,5,4,6,1,79.18397,24.7892
"Dayana PIERRE LOUIS",Sentinelle,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,97,8885.77905,643.52,181.14,13.23,4.17,7,14,16,1,91.83113,25.37225
"Naomie VAGRE",Attaquante,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,97,9153.08887,624.29999,279.46001,102.86,126.38,13,36,27,10,94.59367,29.1846
"Laurine PINOT","Défenseur Central","Le Mans - RCL",11/10/2025,14:44:09,17:31:26,123,11218.62866,908.55003,230.99,19.52,0,8,21,21,2,91.57304,24.39211
"Kaina EL KOUMIR",Attaquante,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,123,11010.77954,746.55002,347.63,48.18,14.34,20,29,30,4,89.75667,25.8786
"Carla POLITO",Sentinelle,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,134,13333.5127,703.80998,110.19,0,0,9,17,9,0,99.37837,22.41591
"Emma SMAALI","Défenseur Central","Le Mans - RCL",11/10/2025,14:44:09,17:31:26,134,12371.45239,683.33999,164.53,19.38,0,4,8,11,1,92.20786,24.15339
"Fany PRONIEZ",Piston,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,134,11931.91772,789.20002,421.47,114.3,149.48999,23,40,33,12,88.93189,29.3401
"Louann ARCHIER",Attaquante,"Le Mans - RCL",11/10/2025,14:44:09,17:31:26,134,13418.45117,1132.01,641.93,120.6,121.16,27,47,56,15,100.01144,30.23228
"Romane LEJEUNE","Défenseur Central","Le Mans - RCL",11/10/2025,14:44:09,17:31:26,134,11870.50464,834.89,291.98,51.02,25.63,8,25,29,5,88.47416,26.78883
"Madelynn ANDERSON",Gardienne,"Le Mans - RCL",11/10/2025,14:41:02,17:31:26,136,5376.28699,89,8.56,0,0,2,4,1,0,39.60962,20.41937
