Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Jennifer LIMAGE","Défenseur Central","DFCO - RCL",13/12/2025,16:14:22,19:06:18,42,2714.48206,343.53,430.5,37.31,30.65,10,4,16,3,65.14939,26.86314
"Alizée MEREAU",Attaquante,"DFCO - RCL",13/12/2025,16:14:22,19:06:18,43,3143.91528,531.86999,205.22,41.72,31.57,4,0,10,3,74.03022,26.30456
"Blandine JOLY",Gardienne,"DFCO - RCL",13/12/2025,16:12:13,19:06:18,45,3236.03394,368.81,429.95001,58.29,10.71,3,0,15,3,72.21329,25.68662
"Tess DAVID",Sentinelle,"DFCO - RCL",13/12/2025,16:14:22,19:06:18,47,3705.93457,724.72003,232.05,26.91,3.15,7,4,15,2,78.39321,25.54301
"Jennifer MEUNIER",Piston,"DFCO - RCL",13/12/2025,16:14:22,19:06:18,48,3308.23853,626.1,254.82999,21.01,12.8,6,3,16,2,68.72715,26.27357
"Clara BERTRAND",Sentinelle,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,50,4075.76013,393.45999,202.33,15.12,0,4,8,16,1,81.91275,24.14497
"Kaina EL KOUMIR",Attaquante,"DFCO - RCL",13/12/2025,16:14:22,19:06:18,81,6507.96399,841.90999,383.75999,56.24,13.62,7,13,27,3,81.00175,25.77417
"Aude GBEDJISSI",Attaquante,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,87,8991.66223,790.54997,256.32,58.66,13.93,22,11,20,5,104.0529,26.44211
"Sherly JEUDY",Attaquante,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,104,11068.87891,997.33997,313.74001,59.77,18.74,5,24,20,3,106.1763,26.67023
"Fany PRONIEZ",Piston,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,115,11715.50928,923.32999,513.84,147.35,198.35001,22,33,43,18,101.70566,29.32266
"Dayana PIERRE LOUIS",Sentinelle,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,115,12671.573,1211.91998,252.6,24.61,13.46,13,23,22,2,109.85484,26.17145
"Carla POLITO",Sentinelle,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,125,13966.80078,1054.13001,183.04,13.52,21.15,9,22,18,1,112.15296,27.10433
"Louann ARCHIER",Attaquante,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,125,14170.2439,1340.74004,667.06,193.79,182.3,32,44,60,18,113.69683,28.02065
"Manon REVELLI",Piston,"DFCO - RCL",13/12/2025,16:14:22,18:52:26,125,13363.20557,1282.24001,696.41,139.84,24.66,16,41,50,9,107.30654,26.0643
"Romane LEJEUNE","Défenseur Central","DFCO - RCL",13/12/2025,16:14:22,18:52:26,125,11689.35791,761.60001,283.55,88.89,56.74,11,25,28,8,93.86429,27.88736
"Sofia GUELLATI","Défenseur Central","DFCO - RCL",13/12/2025,16:14:22,18:52:26,125,12016.87256,560.25998,219.93,87.81,12.24,9,12,14,5,96.496,25.91983
"Emmy JEZEQUEL","Défenseur Central","DFCO - RCL",13/12/2025,16:14:22,18:52:26,125,12892.79834,886.90002,260.57001,82.88,10.48,11,20,19,6,103.52862,25.7646
"Madelynn ANDERSON",Gardienne,"DFCO - RCL",13/12/2025,16:12:13,18:52:26,127,5745.76794,84.23,7.27,0,0,1,2,1,0,45.33347,21.4077
