Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Emma SMAALI","Défenseur Central","RCL - Nantes",27/09/2025,16:16:08,16:44:55,29,1543.41357,3.6,0,0,0,0,0,0,0,53.61588,15.87644
"Madelynn ANDERSON",Gardienne,"RCL - Nantes",27/09/2025,16:11:41,16:43:50,32,1471.73584,18.69,0,0,0,0,0,0,0,45.76625,17.45952
"Alizée MEREAU",Attaquante,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,48,3715.396,180.5,141.10001,34.71,40.24,6,5,8,3,77.58431,28.78256
"Fany PRONIEZ",Piston,"RCL - Nantes",27/09/2025,16:16:08,17:53:01,49,3922.59583,305.03001,117.78,29.16,37.71,16,17,13,4,80.07068,27.7331
"Laureen OILLIC","Défenseur Central","RCL - Nantes",27/09/2025,16:16:08,17:53:01,50,4663.96655,424.27,209.23999,25.94,21.83,8,7,15,3,93.32101,27.45346
"Carla POLITO",Sentinelle,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,58,5065.62244,391.51999,20.72,6.69,0,6,11,2,0,87.53048,23.49611
"Aude GBEDJISSI",Attaquante,"RCL - Nantes",27/09/2025,16:16:08,17:53:01,81,7920.89087,824.45998,262.12001,26.13,4.17,19,24,20,3,97.84535,25.49243
"Kaina EL KOUMIR",Attaquante,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,88,6938.13885,667.90998,226.3,15.03,59.03,22,27,23,2,79.02358,28.53102
"Dayana PIERRE LOUIS",Sentinelle,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,102,9634.73242,745.13002,285.01001,66.7,17.34,19,24,21,5,94.60455,26.4043
"Louann ARCHIER",Attaquante,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,108,10728.97388,926.49997,653.78999,232.23999,198.93,24,30,57,20,99.2947,29.97934
"Manon REVELLI",Piston,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,109,10754.78516,1116.51001,597.78001,147.62,72.93,18,43,48,13,98.91534,27.42181
"Clara BERTRAND",Sentinelle,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,112,11942.05518,1281.74998,361.87,64.59,38.6,25,27,34,5,106.69885,27.53054
"Blandine JOLY",Gardienne,"RCL - Nantes",27/09/2025,16:11:41,19:00:04,129,8128.47461,209.55,66.12,0,0,6,10,5,0,62.8313,21.75749
"Jennifer LIMAGE","Défenseur Central","RCL - Nantes",27/09/2025,16:16:08,19:00:04,130,12712.82788,954.98998,342.53999,115.01,45.43,27,40,29,11,97.46734,26.64687
"Sherly JEUDY",Attaquante,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,130,13356.75635,1347.16995,613.61999,129.38,12.47,15,43,44,9,102.41668,25.89645
"Naomie VAGRE",Attaquante,"RCL - Nantes",27/09/2025,16:16:08,19:00:04,130,12480.22705,1115.47002,481.87,101.01,27.2,16,33,35,9,95.6839,26.5455
"Romane LEJEUNE","Défenseur Central","RCL - Nantes",27/09/2025,16:16:08,19:00:04,130,11783.60449,829.91,460.17999,155.07,66.29,13,23,38,11,90.34301,27.52963
"Sofia GUELLATI","Défenseur Central","RCL - Nantes",27/09/2025,16:16:08,19:00:04,130,12568.30029,844.02999,274.93001,67.96,25.87,10,17,24,6,96.35915,26.4091
