Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Sherly JEUDY",Attaquante,C5,13/10/2025,14:39:53,14:50:32,11,739.16589,0,0,0,0,0,0,0,0,69.38353,13.16827
"Blandine JOLY",Gardienne,C5,13/10/2025,14:39:53,15:37:51,34,2083.0508,24.53,0,0,0,1,4,0,0,61.34167,18.95524
"Laureen OILLIC","Défenseur Central",C5,13/10/2025,16:04:22,16:42:09,38,3172.93726,185.45,31.82,28.72,4.88,19,17,3,3,83.97717,25.64213
"Alizée MEREAU",Attaquante,C5,13/10/2025,14:39:53,15:43:07,45,4149.46321,413.00999,405.67,25.83,0,4,5,20,2,91.888,24.30572
"Clara BERTRAND",Sentinelle,C5,13/10/2025,14:39:53,15:43:07,45,4391.59372,484.09,432.62001,35.11,14.75,14,9,21,3,97.24988,25.85948
"Emmy JEZEQUEL","Défenseur Central",C5,13/10/2025,14:39:53,15:43:07,45,4253.48328,458.60001,399.72,14.67,0,8,9,20,1,94.19148,25.02843
"Jennifer MEUNIER",Piston,C5,13/10/2025,14:39:53,15:43:07,45,4013.8007,353.1,448.62002,52.41,12.35,8,10,18,4,88.88382,25.67132
"Manon REVELLI",Piston,C5,13/10/2025,14:39:53,15:43:07,45,4071.28703,383.67,415.47,14.24,6.33,10,8,17,2,90.15683,25.77451
"Sofia GUELLATI","Défenseur Central",C5,13/10/2025,14:39:53,15:43:07,45,4165.56622,441.24999,364.91,47.61,17.67,3,3,18,4,92.2446,26.76858
"Tess DAVID",Sentinelle,C5,13/10/2025,14:39:53,15:43:07,45,4089.62869,524.25999,264.53,48.77,11.87,4,6,13,4,90.563,25.88477
"Lizzy MILLEQUANT",Attaquante,C5,13/10/2025,13:48:44,15:21:43,93,3235.86133,88.48,104.56,72.68,210.86,6,0,8,7,34.80044,27.7548
