Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Tess DAVID",Sentinelle,S49,29/09/2025,14:43:00,15:04:09,21,3966.0437,0,0,0,0,0,0,0,0,187.5198,12.67846
"Blandine JOLY",Gardienne,S49,29/09/2025,13:36:12,14:36:41,41,2444.01326,6.26,0,0,0,4,5,0,0,59.07742,17.64648
"Clara BERTRAND",Sentinelle,S49,29/09/2025,13:36:12,14:36:41,41,4083.30749,356.64,36.56,0,0,11,18,4,0,98.70293,21.22882
"Dayana PIERRE LOUIS",Sentinelle,S49,29/09/2025,13:36:12,14:36:41,41,3469.12183,172.83,5.78,0,0,4,10,1,0,83.85665,20.02054
"Jennifer LIMAGE","Défenseur Central",S49,29/09/2025,13:36:12,14:36:41,41,3885.91874,178.85,16.69,0,0,4,7,1,0,93.93159,20.33383
"Louann ARCHIER",Attaquante,S49,29/09/2025,13:36:12,14:36:41,41,3853.18699,288.96,85.43,0,0,12,12,7,0,93.14039,22.2263
"Manon REVELLI",Piston,S49,29/09/2025,13:36:12,14:36:41,41,3822.1544,242.3,90.9,1.73,0,4,16,7,0,92.39026,23.16455
"Romane LEJEUNE","Défenseur Central",S49,29/09/2025,13:36:12,14:36:41,41,3508.30096,256.31,66.66,28.08,3.92,7,15,7,2,84.8037,25.7674
"Sherly JEUDY",Attaquante,S49,29/09/2025,13:36:12,14:36:41,41,3306.57681,174.52,44.68,0,0,3,7,4,0,79.92757,21.68486
"Sofia GUELLATI","Défenseur Central",S49,29/09/2025,13:36:12,14:36:41,41,3752.89906,93.12,15.17,0,0,0,1,2,0,90.7162,21.09755
